MRGID,preferredGazetteerName,placeType,gazetteerSource,status,accepted,latitude,longitude,minLatitude,minLongitude,maxLatitude,maxLongitude,boundingBoxWKT,geometryAvailable,geometryCount,geometryURLs,recordURL
36262,Ambracian Gulf,Gulf,Wikipedia,standard,36262,38.9725,20.969167,,,,,,false,0,,https://www.marineregions.org/mrgid/36262
23501,Amundsen Gulf,Gulf,Canadian Geographical Names Database (CGND),standard,23501,71.000372,-124.002765,,,,,,true,1,https://www.marineregions.org/mrgid/23501/geometries?source=195&attributeValue=LABCK,https://www.marineregions.org/mrgid/23501
4311,Anadyrskiy Zaliv,Gulf,GeoNames,standard,4311,64,-178,,,,,,true,1,https://www.marineregions.org/mrgid/4311/geometries?source=169&attributeValue=4311,https://www.marineregions.org/mrgid/4311
4352,Berau Bay,Gulf,The SeaVoX Salt and Fresh Water Body Gazetteer,standard,4352,-2.39611111111111,132.9752777777778,-2.8121751713033,131.94743682674,-2.0745226609664,133.99929650097,"POLYGON ((131.94743682674 -2.8121751713033, 133.99929650097 -2.8121751713033, 133.99929650097 -2.0745226609664, 131.94743682674 -2.0745226609664, 131.94743682674 -2.8121751713033))",false,0,,https://www.marineregions.org/mrgid/4352
15590,Berdyan bay,Gulf,GIS meteorology of Azov and Black Seas author Vladimir Belokopytov MhI NAS Ukraine email:belo(at)vip.sevsky.net,standard,15590,46.414,36.453,,,,,,false,0,,https://www.marineregions.org/mrgid/15590
3880,Bou Grara Gulf,Gulf,"(2001). The Times comprehensive atlas of the world. 10th ed. Times Books: London. ISBN 0-7230-0792-6. 67, 220, 124 plates pp.",standard,3880,33.598333333333336,10.824444444444444,,,,,,false,0,,https://www.marineregions.org/mrgid/3880
3812,Bourgas Bay,Gulf,ASFA thesaurus,standard,3812,42.01666667,27.95,,,,,,false,0,,https://www.marineregions.org/mrgid/3812
2360,Cadiz Gulf,Gulf,ASFA thesaurus,standard,2360,36.7,-6.966666666666667,35.94,-5.97,36.97,-7.91,"POLYGON ((-5.97 35.94, -7.91 35.94, -7.91 36.97, -5.97 36.97, -5.97 35.94))",false,0,,https://www.marineregions.org/mrgid/2360
19231,"Cariaco, Golfo de",Gulf,IMIS,standard,19231,10.5,-64,,,,,,false,0,,https://www.marineregions.org/mrgid/19231
23498,Coronation Gulf,Gulf,Canadian Geographical Names Database (CGND),standard,23498,68.133333,-112,,,,,,true,1,https://www.marineregions.org/mrgid/23498/geometries?source=195&attributeValue=OADVC,https://www.marineregions.org/mrgid/23498
15001,Dzharylgach bay,Gulf,"(2001). The Times comprehensive atlas of the world. 10th ed. Times Books: London. ISBN 0-7230-0792-6. 67, 220, 124 plates pp.",standard,15001,46.0833333,32.75,,,,,,false,0,,https://www.marineregions.org/mrgid/15001
15630,Dzharylhats'ka gulf,Gulf,GIS meteorology of Azov and Black Seas author Vladimir Belokopytov MhI NAS Ukraine email:belo(at)vip.sevsky.net,standard,15630,46.04,32.405,,,,,,false,0,,https://www.marineregions.org/mrgid/15630
3824,Eastern Karkinitsky Bay,Gulf,BIOMARE,standard,3824,45.9166667,33.5833333,,,,,,false,0,,https://www.marineregions.org/mrgid/3824
15643,Egorlyczka gulf,Gulf,GIS meteorology of Azov and Black Seas author Vladimir Belokopytov MhI NAS Ukraine email:belo(at)vip.sevsky.net,standard,15643,46.24,31.48,,,,,,false,0,,https://www.marineregions.org/mrgid/15643
